seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
NZ_CP066774.1|provirus_5101124_5152999	51876	Provirus	5101124-5152999	82	11	0.9666	NA	8	73.3921	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP066774.1|provirus_378498_462004	83507	Provirus	378498-462004	110	11	0.9430	NA	5	69.2940	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP066774.1|provirus_864155_881993	17839	Provirus	864155-881993	25	11	0.9338	NA	1	29.0400	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP074380.1|provirus_5735677_5777487	41811	Provirus	5735677-5777487	48	11	0.9464	NA	3	32.7142	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP074380.1|provirus_5706205_5728531	22327	Provirus	5706205-5728531	26	11	0.9415	NA	4	13.0864	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP077417.1|provirus_3744258_3794777	50520	Provirus	3744258-3794777	65	11	0.9614	NA	10	63.4171	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP084582.1|provirus_4619027_4679647	60621	Provirus	4619027-4679647	74	11	0.8929	NA	2	29.1316	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP084582.1|provirus_4693198_4705131	11934	Provirus	4693198-4705131	13	11	0.8298	NA	0	5.5736	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP086322.1|provirus_3105238_3148914	43677	Provirus	3105238-3148914	55	11	0.9662	NA	8	47.1544	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP086322.1|provirus_5772328_5810789	38462	Provirus	5772328-5810789	50	11	0.9599	NA	8	47.9269	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP086322.1|provirus_1419827_1473396	53570	Provirus	1419827-1473396	75	11	0.9553	NA	6	48.7166	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP086322.1|provirus_6681499_6741825	60327	Provirus	6681499-6741825	71	11	0.9324	NA	4	41.4526	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP086322.1|provirus_6814474_6825078	10605	Provirus	6814474-6825078	22	11	0.9318	NA	2	14.3114	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP086322.1|provirus_4161667_4206048	44382	Provirus	4161667-4206048	50	11	0.9213	NA	3	37.1189	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP086322.1|provirus_3444840_3456193	11354	Provirus	3444840-3456193	16	11	0.9164	NA	0	3.9635	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP120983.1|provirus_3372382_3388915	16534	Provirus	3372382-3388915	22	11	0.9155	NA	1	18.1745	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP133407.1|provirus_233784_250047	16264	Provirus	233784-250047	25	11	0.9655	NA	5	20.8205	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP133407.1|provirus_1824158_1880898	56741	Provirus	1824158-1880898	56	11	0.9604	NA	11	44.6120	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP133407.1|provirus_1074173_1119704	45532	Provirus	1074173-1119704	67	11	0.9591	NA	6	44.6845	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP133407.1|provirus_274479_304561	30083	Provirus	274479-304561	33	11	0.9556	NA	1	25.2225	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP133407.1|provirus_2193800_2261575	67776	Provirus	2193800-2261575	69	11	0.9537	NA	12	50.6817	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CVPB01000001.1|provirus_2924642_2941030	16389	Provirus	2924642-2941030	21	11	0.8977	NA	1	22.3897	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CVPB01000001.1|provirus_1482435_1498366	15932	Provirus	1482435-1498366	18	11	0.8908	NA	1	4.6739	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_FNTM01000001.1|provirus_5095430_5137422	41993	Provirus	5095430-5137422	58	11	0.9513	NA	7	53.5692	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JAAOYM010000001.1|provirus_953052_977723	24672	Provirus	953052-977723	34	11	0.9549	NA	5	30.0007	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JABAQG010000001.1|provirus_3503070_3531238	28169	Provirus	3503070-3531238	43	11	0.9139	NA	0	12.2411	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LISX01000009.1|provirus_304189_340128	35940	Provirus	304189-340128	55	11	0.9488	NA	6	48.6309	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LMHX01000004.1|provirus_434757_447307	12551	Provirus	434757-447307	18	11	0.9521	NA	1	20.8424	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LT827010.1|provirus_6330114_6356564	26451	Provirus	6330114-6356564	54	11	0.9721	NA	1	21.0435	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LT963352.1|provirus_4529118_4548801	19684	Provirus	4529118-4548801	26	11	0.9579	NA	6	22.3462	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_MOMC01000003.1|provirus_88113_98978	10866	Provirus	88113-98978	18	11	0.9399	NA	1	5.7654	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_NBCN01000004.1|provirus_451402_477197	25796	Provirus	451402-477197	31	11	0.9566	NA	2	28.5261	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_PKFQ01000001.1|provirus_4436277_4532838	96562	Provirus	4436277-4532838	146	11	0.9682	NA	16	144.8404	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NC_016109.1|provirus_3618972_3638549	19578	Provirus	3618972-3638549	18	11	0.8853	NA	0	6.3782	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NC_015957.1|provirus_8780698_8823647	42950	Provirus	8780698-8823647	55	11	0.9587	NA	6	44.8067	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_AP023355.1|provirus_5625554_5635248	9695	Provirus	5625554-5635248	14	11	0.9627	NA	0	6.3287	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_BNDW01000068.1|provirus_540686_642978	102293	Provirus	540686-642978	161	11	0.9368	NA	10	63.9100	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP017299.1|provirus_3775516_3832968	57453	Provirus	3775516-3832968	73	11	0.9414	NA	7	55.4066	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP017780.1|provirus_197_54072	53876	Provirus	197-54072	88	11	0.9604	NA	10	56.2528	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP017780.1|provirus_5977617_5985963	8347	Provirus	5977617-5985963	12	11	0.9384	NA	0	14.7983	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP017780.1|provirus_3745250_3759038	13789	Provirus	3745250-3759038	9	11	0.9091	NA	3	7.8745	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP028130.1|provirus_633599_695751	62153	Provirus	633599-695751	59	11	0.8108	NA	2	10.2275	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP034539.1|provirus_4979096_5006659	27564	Provirus	4979096-5006659	39	11	0.9253	NA	1	18.0381	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP045803.1|provirus_303700_364620	60921	Provirus	303700-364620	103	11	0.9577	NA	7	70.3227	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP045803.1|provirus_8005432_8047284	41853	Provirus	8005432-8047284	81	11	0.9432	NA	4	57.1426	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP045803.1|provirus_6368349_6394880	26532	Provirus	6368349-6394880	26	11	0.9345	NA	1	11.3037	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP045572.1|provirus_5546807_5645425	98619	Provirus	5546807-5645425	124	11	0.9539	NA	10	53.7366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP053539.1|provirus_5046831_5099351	52521	Provirus	5046831-5099351	90	11	0.9284	NA	9	49.6348	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP061345.1|provirus_2985760_3003026	17267	Provirus	2985760-3003026	29	11	0.9752	NA	4	30.3058	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP061345.1|provirus_1_11206	11206	Provirus	1-11206	15	11	0.9669	NA	1	8.5885	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP061345.1|provirus_3429037_3475816	46780	Provirus	3429037-3475816	65	11	0.9634	NA	8	43.6086	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP061345.1|provirus_1404138_1443197	39060	Provirus	1404138-1443197	63	11	0.9625	NA	8	40.3649	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP068598.1|provirus_6073010_6113028	40019	Provirus	6073010-6113028	64	11	0.9595	NA	8	49.8352	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP068598.1|provirus_2533770_2578072	44303	Provirus	2533770-2578072	66	11	0.9511	NA	4	51.3571	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP068598.1|provirus_4803566_4819579	16014	Provirus	4803566-4819579	20	11	0.9029	NA	1	25.7899	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP085954.1|provirus_4497458_4512226	14769	Provirus	4497458-4512226	23	11	0.9753	NA	4	24.8484	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP085954.1|provirus_1236369_1284028	47660	Provirus	1236369-1284028	74	11	0.9676	NA	9	58.7983	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP085954.1|provirus_4342698_4352979	10282	Provirus	4342698-4352979	16	11	0.9454	NA	4	9.9920	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP085954.1|provirus_1321116_1333656	12541	Provirus	1321116-1333656	17	11	0.9373	NA	5	15.4970	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP085954.1|provirus_4402975_4411985	9011	Provirus	4402975-4411985	15	11	0.9201	NA	1	12.6189	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP092644.1|provirus_1904896_1952734	47839	Provirus	1904896-1952734	73	11	0.9483	NA	8	65.8891	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP092644.1|provirus_5996579_6040947	44369	Provirus	5996579-6040947	58	11	0.9476	NA	9	52.6027	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP094483.1|provirus_7165293_7220249	54957	Provirus	7165293-7220249	88	11	0.9405	NA	10	48.1530	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP094483.1|provirus_4825120_4836948	11829	Provirus	4825120-4836948	15	11	0.9106	NA	3	8.8031	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP103889.1|provirus_1295117_1311248	16132	Provirus	1295117-1311248	25	11	0.9583	NA	3	12.4093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP114202.1|provirus_589149_672593	83445	Provirus	589149-672593	150	11	0.9562	NA	6	71.8480	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP119143.1|provirus_7583342_7621152	37811	Provirus	7583342-7621152	44	11	0.9425	NA	4	37.8423	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP119143.1|provirus_5950944_5966736	15793	Provirus	5950944-5966736	20	11	0.9263	NA	0	13.0469	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP119143.1|provirus_7527868_7562541	34674	Provirus	7527868-7562541	33	11	0.8942	NA	4	12.3025	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_BCMM01000008.1|provirus_136813_174458	37646	Provirus	136813-174458	56	11	0.9504	NA	7	50.4057	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CAJSLV010000046.1|provirus_99294_145827	46534	Provirus	99294-145827	66	11	0.9475	NA	8	45.8318	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP007574.1|provirus_5546437_5587128	40692	Provirus	5546437-5587128	49	11	0.9605	NA	8	45.2361	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP007574.1|provirus_3297158_3359506	62349	Provirus	3297158-3359506	72	11	0.9262	NA	5	43.8881	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP018047.1|provirus_1716509_1732571	16063	Provirus	1716509-1732571	14	11	0.8039	NA	6	11.6244	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP023407.1|provirus_1118413_1131402	12990	Provirus	1118413-1131402	24	11	0.9326	NA	3	15.3735	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP027297.1|provirus_5739220_5791145	51926	Provirus	5739220-5791145	87	11	0.9547	NA	11	67.5308	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP031263.1|provirus_1055473_1106852	51380	Provirus	1055473-1106852	83	11	0.9623	NA	11	59.3916	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP031263.1|provirus_374249_422429	48181	Provirus	374249-422429	74	11	0.9358	NA	7	29.1307	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP031263.1|provirus_3459994_3486050	26057	Provirus	3459994-3486050	25	11	0.7572	NA	0	4.7674	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP048405.1|provirus_6341936_6377254	35319	Provirus	6341936-6377254	53	11	0.9220	NA	2	11.6354	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP048405.1|provirus_6522971_6549526	26556	Provirus	6522971-6549526	37	11	0.7176	NA	1	7.6180	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP054923.1|provirus_5235915_5296435	60521	Provirus	5235915-5296435	97	11	0.9646	NA	5	62.4188	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP088906.1|provirus_836281_871528	35248	Provirus	836281-871528	47	11	0.9685	NA	6	50.4944	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP097123.1|provirus_4988646_5020612	31967	Provirus	4988646-5020612	34	11	0.9653	NA	7	44.9740	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP097123.1|provirus_2206380_2259562	53183	Provirus	2206380-2259562	69	11	0.9516	NA	7	47.2424	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP097123.1|provirus_7647046_7660449	13404	Provirus	7647046-7660449	18	11	0.9260	NA	1	22.4588	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP103900.1|provirus_1297336_1311772	14437	Provirus	1297336-1311772	25	11	0.9611	NA	3	15.2104	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_QSWD01000003.1|provirus_148_43955	43808	Provirus	148-43955	41	11	0.9341	NA	0	8.5659	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_RBIL01000001.1|provirus_300714_333773	33060	Provirus	300714-333773	25	11	0.8725	NA	1	5.9487	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_RDTE01000003.1|provirus_5981070_6038324	57255	Provirus	5981070-6038324	73	11	0.9563	NA	10	55.6373	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_RDTE01000003.1|provirus_1278904_1331819	52916	Provirus	1278904-1331819	85	11	0.9449	NA	10	57.2002	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_SLWS01000001.1|provirus_129480_171231	41752	Provirus	129480-171231	49	11	0.9647	NA	13	44.2102	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_SLWS01000001.1|provirus_691203_726645	35443	Provirus	691203-726645	55	11	0.9343	NA	8	31.7406	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_SNXZ01000002.1|provirus_1251194_1297900	46707	Provirus	1251194-1297900	73	11	0.9605	NA	9	44.6046	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_SOBN01000001.1|provirus_4054164_4067660	13497	Provirus	4054164-4067660	17	11	0.8599	NA	0	6.2038	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VAWE01000001.1|provirus_2281962_2324007	42046	Provirus	2281962-2324007	62	11	0.9643	NA	13	58.8947	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VAWE01000001.1|provirus_5428230_5471305	43076	Provirus	5428230-5471305	66	11	0.9570	NA	8	61.0035	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VAWE01000001.1|provirus_5807077_5877722	70646	Provirus	5807077-5877722	83	11	0.9438	NA	7	49.2492	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VEHK01000001.1|provirus_412477_443363	30887	Provirus	412477-443363	36	11	0.9429	NA	2	30.7975	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VEHK01000001.1|provirus_377928_399686	21759	Provirus	377928-399686	24	11	0.9360	NA	2	10.7347	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VFOP01000001.1|provirus_3208829_3223402	14574	Provirus	3208829-3223402	14	11	0.8422	NA	4	13.0527	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LGCP01000287.1|provirus_112350_166419	54070	Provirus	112350-166419	93	11	0.9536	NA	5	75.1443	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LR134504.1|provirus_2714445_2727247	12803	Provirus	2714445-2727247	18	11	0.9496	NA	3	18.9809	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LT629701.1|provirus_8516070_8565474	49405	Provirus	8516070-8565474	74	11	0.9050	NA	7	47.7718	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LT629775.1|provirus_4717978_4751382	33405	Provirus	4717978-4751382	49	11	0.9394	NA	9	48.8495	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LT629758.1|provirus_7710882_7760346	49465	Provirus	7710882-7760346	51	11	0.9204	NA	4	36.4208	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LYDT01001115.1|provirus_9680_17034	7355	Provirus	9680-17034	12	11	0.9219	NA	2	13.4158	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_RHGC01000002.1|provirus_149577_175268	25692	Provirus	149577-175268	32	11	0.9773	NA	9	40.5210	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_RHGC01000002.1|provirus_182307_197661	15355	Provirus	182307-197661	26	11	0.9417	NA	2	25.6348	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_SMGC01000009.1|provirus_98061_148488	50428	Provirus	98061-148488	70	11	0.9637	NA	10	48.6683	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_SOCE01000001.1|provirus_1239842_1274377	34536	Provirus	1239842-1274377	39	11	0.8598	NA	0	6.5012	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VIWY01000003.1|provirus_550083_598872	48790	Provirus	550083-598872	83	11	0.9570	NA	6	51.5269	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JAOBTR010000001.1|provirus_1564058_1583322	19265	Provirus	1564058-1583322	21	11	0.9056	NA	1	6.5136	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JAPEMX010000001.1|provirus_4840928_4880684	39757	Provirus	4840928-4880684	53	11	0.9703	NA	11	65.4034	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JAPEMX010000001.1|provirus_426606_489876	63271	Provirus	426606-489876	95	11	0.9545	NA	7	59.6928	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JAPZBJ010000002.1|provirus_3759883_3802751	42869	Provirus	3759883-3802751	63	11	0.9578	NA	10	51.6640	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JARUBM010000002.1|provirus_442119_491799	49681	Provirus	442119-491799	65	11	0.9675	NA	7	55.6724	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JARUBM010000002.1|provirus_4366317_4409038	42722	Provirus	4366317-4409038	64	11	0.9613	NA	7	54.4956	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JARUBM010000002.1|provirus_5175169_5204997	29829	Provirus	5175169-5204997	33	11	0.9134	NA	1	12.1856	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JARUBM010000002.1|provirus_5218720_5263860	45141	Provirus	5218720-5263860	56	11	0.9117	NA	1	20.9791	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JARUBM010000002.1|provirus_3146011_3172153	26143	Provirus	3146011-3172153	33	11	0.9099	NA	0	11.0529	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JARUBM010000002.1|provirus_3088204_3135700	47497	Provirus	3088204-3135700	45	11	0.7012	NA	0	8.6850	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JQMO01000003.1|provirus_4962252_4980972	18721	Provirus	4962252-4980972	20	11	0.8482	NA	0	6.9105	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_KK106988.1|provirus_802250_852435	50186	Provirus	802250-852435	72	11	0.9513	NA	5	50.7075	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_LJGV01000022.1|provirus_3170442_3181002	10561	Provirus	3170442-3181002	13	11	0.9075	NA	0	5.0298	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_MEHM01000001.1|provirus_4740130_4754130	14001	Provirus	4740130-4754130	20	11	0.9089	NA	1	20.4139	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_RBXR01000001.1|provirus_303106_336930	33825	Provirus	303106-336930	47	11	0.9637	NA	5	37.4703	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_WEGJ01000003.1|provirus_359534_428324	68791	Provirus	359534-428324	71	11	0.9409	NA	7	49.2319	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_FMHX01000003.1|provirus_6897917_6951277	53361	Provirus	6897917-6951277	71	11	0.9303	NA	3	33.5006	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_FMHX01000003.1|provirus_4609431_4629005	19575	Provirus	4609431-4629005	31	11	0.9094	NA	0	6.3367	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JAATOJ010000094.1|provirus_14695_19478	4784	Provirus	14695-19478	8	11	0.9616	NA	2	8.0446	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_JAGGOJ010000007.1|provirus_256283_281707	25425	Provirus	256283-281707	24	11	0.9744	NA	3	22.0477	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_MWRA01000001.1|provirus_933778_993183	59406	Provirus	933778-993183	77	11	0.9683	NA	7	46.5277	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_MWRA01000001.1|provirus_1830198_1852472	22275	Provirus	1830198-1852472	23	11	0.9512	NA	3	18.7114	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_QVNQ01000013.1|provirus_93817_117085	23269	Provirus	93817-117085	33	11	0.9213	NA	0	7.3643	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VRLV01000004.1|provirus_87307_168310	81004	Provirus	87307-168310	93	11	0.9446	NA	14	73.2641	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_VRLV01000004.1|provirus_178288_187082	8795	Provirus	178288-187082	17	11	0.8976	NA	0	8.5407	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_BBZF01000020.1|provirus_188157_233442	45286	Provirus	188157-233442	66	11	0.9553	NA	5	57.7756	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_BMWG01000003.1|provirus_27073_118189	91117	Provirus	27073-118189	119	11	0.9312	NA	6	76.5628	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CABVGP010000003.1|provirus_154684_169606	14923	Provirus	154684-169606	18	11	0.8935	NA	0	10.1037	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CABVGP010000003.1|provirus_132843_144268	11426	Provirus	132843-144268	12	11	0.8537	NA	0	7.6539	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP008953.1|provirus_5954513_5996454	41942	Provirus	5954513-5996454	67	11	0.9721	NA	7	49.4830	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP008953.1|provirus_8187651_8204526	16876	Provirus	8187651-8204526	22	11	0.9041	NA	0	11.6226	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
