seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
NZ_VIUV01000020.1	102612	No terminal repeats	96	11	0.9547	NA	0	2.7544	NA	NA
NZ_WAAS01000053.1	33637	No terminal repeats	33	11	0.9494	NA	0	0.5134	NA	NF033068;NF012178
NZ_BQUN01000182.1	377429	No terminal repeats	336	11	0.9769	NA	0	6.0532	NA	NF033129;NF033135;NF000095;NF012178;NF012174;NF000469;NF033135;NF012174;NF000469;NF000456
NZ_SRID01000084.1	20928	No terminal repeats	24	11	0.9799	NA	0	3.0630	NA	NA
NZ_VIRK01000049.1	52759	No terminal repeats	48	11	0.9047	NA	0	4.4862	NA	NF033068;NF012174
NZ_AROY02000010.1	100575	No terminal repeats	91	11	0.9882	NA	1	6.5134	T_virB11	NF000095;NF033068
NZ_SPAY01000081.1	23628	No terminal repeats	15	11	0.9796	NA	0	4.0746	NA	NA
NZ_WWKI01000390.1	14220	No terminal repeats	17	11	0.9685	NA	0	1.0155	NA	NA
NZ_AYTZ01000057.1	32363	No terminal repeats	30	11	0.9558	NA	0	4.2263	NA	NA
NZ_LGUX01000301.1	62709	No terminal repeats	59	11	0.8151	NA	0	3.0214	NA	NA
NZ_LIPF01000016.1	91834	No terminal repeats	93	11	0.9893	NA	1	22.2977	NA	NF033105;NF012174;NF012174;NF033135;NF033083
NZ_WWKG01001513.1	24239	No terminal repeats	29	11	0.8411	NA	0	0.5490	NA	NF033129;NF033068
NZ_AUAX01000042.1	51001	No terminal repeats	47	11	0.9540	NA	0	4.0813	NA	NA
NZ_VSZQ01000074.1	32506	No terminal repeats	34	11	0.9641	NA	0	6.9348	NA	NF033134
NZ_VXLC01000029.1	161229	No terminal repeats	159	11	0.9729	NA	1	6.5922	NA	NF012174
NZ_BBPQ01000054.1	55553	No terminal repeats	27	11	0.9276	NA	0	4.5096	NA	NA
NZ_BMVI01000054.1	35896	No terminal repeats	38	11	0.9843	NA	0	6.5038	NA	NA
NZ_NEUF01000163.1	15918	No terminal repeats	17	11	0.9849	NA	0	6.3390	NA	NA
NZ_QHHV01000112.1	42358	No terminal repeats	42	11	0.9737	NA	0	4.1745	NA	NF000165;NF033068
NZ_QOCZ01000022.1	51140	No terminal repeats	56	11	0.9884	NA	2	2.3651	virb4	NA
NZ_VLLL01000010.1	179842	No terminal repeats	164	11	0.9544	NA	0	0.6787	NA	NF033068;NF033068;NF000095;NF012174
NZ_VMSN01000019.1	11388	No terminal repeats	10	11	0.8778	NA	0	1.6628	NA	NA
NZ_VWMY01000004.1	249324	No terminal repeats	214	11	0.9786	NA	0	5.0674	NA	NF000138;NF033135
NZ_WWJO01000204.1	15063	No terminal repeats	13	11	0.9486	NA	0	3.6095	NA	NA
NZ_BSTN01000053.1	11216	No terminal repeats	12	11	0.9488	NA	0	2.7806	NA	NA
NZ_CP048046.1	143075	No terminal repeats	170	11	0.9825	NA	3	35.7833	NA	NF012174;NF033156
NZ_FMCW01000048.1	36421	No terminal repeats	21	11	0.9409	NA	0	1.3743	NA	NA
NZ_AAGP01000053.1	26766	No terminal repeats	19	11	0.9785	NA	0	3.3779	NA	NA
NZ_ADGX01000188.1	15224	No terminal repeats	17	11	0.9714	NA	1	4.0989	NA	NA
NZ_AEJC01000426.1	16452	No terminal repeats	11	11	0.9813	NA	0	5.0870	NA	NA
NZ_ANBH01000277.1	58039	No terminal repeats	59	11	0.9393	NA	0	4.9007	NA	NA
NZ_ASXG01000196.1	372091	No terminal repeats	346	11	0.9248	NA	0	11.5667	NA	NF000095;NF012174;NF033135;NF033135;NF033117;NF033135;NF000469;NF033135
NZ_AZSS01000209.1	5543	No terminal repeats	3	11	0.7686	NA	0	2.2866	NA	NA
NZ_BBQG01000062.1	41008	No terminal repeats	38	11	0.9829	NA	0	5.5352	NA	NA
NZ_BCXD01000026.1	73067	No terminal repeats	85	11	0.9916	NA	4	35.2437	MOBP1	NF033068
NZ_BEWB01000022.1	95967	No terminal repeats	101	11	0.9876	NA	2	8.5938	MOBP1	NF033134;NF033134
NZ_BLAD01000099.1	41406	No terminal repeats	28	11	0.9887	NA	0	6.9223	NA	NA
NZ_BLAE01000040.1	104103	No terminal repeats	99	11	0.8685	NA	0	4.3434	NA	NF000496;NF033145
NZ_BMMS01000020.1	166024	No terminal repeats	149	11	0.9587	NA	0	1.4022	NA	NF000496;NF000125
NZ_BMUI01000014.1	230320	No terminal repeats	175	11	0.9739	NA	1	4.0656	NA	NF012229;NF000225;NF000496;NF000496;NF033068
NZ_JAAGNF010000060.1	16501	No terminal repeats	12	11	0.9114	NA	0	1.6808	NA	NA
NZ_JAAXYB010000396.1	5804	No terminal repeats	5	11	0.7437	NA	0	0.2528	NA	NA
NZ_CALNVW010000064.1	31761	No terminal repeats	33	11	0.9901	NA	0	5.5073	NA	NF033068
NZ_BMRN01000036.1	75498	No terminal repeats	59	11	0.9823	NA	0	5.8081	NA	NA
NZ_BMUJ01000029.1	36991	No terminal repeats	43	11	0.9898	NA	2	2.0050	MOBP1	NA
NZ_CP048050.1	142343	No terminal repeats	161	11	0.9826	NA	3	35.6065	NA	NF033156;NF012174
NZ_FMCP01000075.1	36967	No terminal repeats	36	11	0.9571	NA	0	0.6351	NA	NF000225;NF000373
NZ_FOKG01000036.1	30456	No terminal repeats	32	11	0.9914	NA	0	18.2933	NA	NF000402
NZ_JABBNA010000033.1	95107	No terminal repeats	89	11	0.9725	NA	0	8.1624	NA	NA
NZ_JACGSQ010000018.1	892076	No terminal repeats	775	11	0.9685	NA	1	16.4671	MOBQ	NF012174;NF000487;NF012171;NF000241;NF012174;NF012174;NF000402;NF033129;NF038208;NF000095;NF033105;NF033134;NF033476;NF033134;NF033083;NF000095;NF000095;NF033134;NF012178;NF000496;NF033135;NF033135
NZ_JAFFZM010000013.1	249523	No terminal repeats	215	11	0.9859	NA	0	13.1200	NA	NF033134;NF000469;NF033135;NF000138;NF033105;NF000469;NF033134;NF033117
NZ_JAGPYH010000009.1	243445	No terminal repeats	201	11	0.9833	NA	0	4.6032	NA	NF033135;NF033476;NF033117
NZ_SHTJ01000013.1	10811	No terminal repeats	10	11	0.8387	NA	0	1.6628	NA	NA
NZ_SJXI01000056.1	197399	No terminal repeats	196	11	0.9857	NA	0	0.7254	NA	NF012178
NZ_SMKU01000169.1	20149	No terminal repeats	17	11	0.8566	NA	0	1.0509	NA	NA
NZ_VBVX01000025.1	37548	No terminal repeats	34	11	0.9920	NA	1	18.3104	NA	NA
NZ_SOPN01000041.1	47266	No terminal repeats	52	11	0.9897	NA	0	16.0275	NA	NA
NZ_SOPN01000032.1	54893	No terminal repeats	46	11	0.9806	NA	1	6.5823	T_virB11	NA
NZ_WKJU01000148.1	13966	No terminal repeats	12	11	0.9876	NA	0	3.3345	NA	NA
NZ_FNVU01000031.1	97820	No terminal repeats	95	11	0.9875	NA	1	5.8554	NA	NF000496;NF033068;NF012174
NZ_FODD01000057.1	39981	No terminal repeats	37	11	0.9918	NA	0	13.0872	NA	NA
NZ_JAACYW010000041.1	57829	No terminal repeats	53	11	0.9781	NA	0	3.6274	NA	NA
NZ_JAAGNF010001032.1	40744	No terminal repeats	36	11	0.7588	NA	0	2.9197	NA	NA
NZ_JAASAC010000012.1	83189	No terminal repeats	63	11	0.9714	NA	0	4.6675	NA	NF012174;NF012178
NZ_JAAVJB010000141.1	13488	No terminal repeats	13	11	0.8662	NA	0	1.5005	NA	NA
NZ_NEUD01000848.1	14495	No terminal repeats	14	11	0.9684	NA	0	3.3157	NA	NF033068;NF038208
NZ_NEUD01000849.1	49079	No terminal repeats	43	11	0.9694	NA	2	2.0384	MOBP1	NA
NZ_NTHD01000109.1	17367	DTR	16	11	0.9852	NA	0	7.1225	NA	NA
NZ_ANBB01000008.1	127698	No terminal repeats	132	11	0.8230	NA	1	1.0096	MOBQ	NF033135;NF033105;NF033145;NF000088;NF012174
NZ_AOEX01000016.1	262668	No terminal repeats	236	11	0.9774	NA	0	20.3595	NA	NF000025;NF000025;NF033135;NF033134;NF033135;NF012174;NF033134
NZ_BHZI01000201.1	11177	No terminal repeats	11	11	0.9830	NA	0	3.1424	NA	NA
NZ_BMMK01000037.1	50455	No terminal repeats	45	11	0.9938	NA	1	21.3893	NA	NA
NZ_CP011665.1	529571	No terminal repeats	537	11	0.9839	NA	0	26.5054	NA	NF033135;NF033117;NF000027;NF033115;NF033135;NF033476;NF033135;NF012178;NF000025;NF033476;NF000496
NZ_CP054921.1	136926	No terminal repeats	139	11	0.9888	NA	2	43.3361	NA	NF033135;NF033105;NF033135
NZ_JAAFZA010000076.1	41695	No terminal repeats	48	11	0.9838	NA	0	10.8211	T_virB11	NA
NZ_JAAGLI010000377.1	29965	No terminal repeats	31	11	0.9704	NA	0	4.1121	NA	NA
NZ_JAAKZX010000119.1	29546	No terminal repeats	32	11	0.9930	NA	2	7.5363	MOBP1	NA
NZ_JACJHR010000122.1	17888	No terminal repeats	20	11	0.8342	NA	0	0.1491	NA	NA
NZ_JACLZH010000025.1	84928	No terminal repeats	69	11	0.9897	NA	1	22.1891	NA	NF033083
NZ_JACTVI010000105.1	28519	No terminal repeats	29	11	0.9697	NA	0	0.2806	NA	NA
NZ_JADOGI010000007.1	96696	No terminal repeats	98	11	0.9794	NA	0	14.2366	NA	NF000095
NZ_JADWMQ010000044.1	49971	No terminal repeats	51	11	0.9907	NA	0	16.9338	NA	NA
NZ_JADWYW010000071.1	63625	No terminal repeats	53	11	0.9595	NA	0	6.7544	T_virB11	NA
NZ_JAENRV010000013.1	79899	No terminal repeats	91	11	0.9864	NA	6	16.3458	MOBP1;MOBP1;MOBP1	NA
NZ_JAENSB010000387.1	6421	No terminal repeats	5	11	0.8986	NA	0	0.5110	NA	NA
NZ_JAENSA010000053.1	29451	No terminal repeats	32	11	0.9889	NA	0	3.1210	NA	NA
NZ_JAENSJ010000033.1	30701	No terminal repeats	25	11	0.9390	NA	0	3.3152	NA	NA
NZ_JAFRDR010000013.1	151305	No terminal repeats	156	11	0.9436	NA	0	10.4942	NA	NF012178;NF000241
NZ_JAFLQY010000001.1	565995	No terminal repeats	556	11	0.9838	NA	0	45.0942	NA	NF033134;NF000496;NF033476;NF000025;NF012178;NF033135;NF033476;NF033135;NF000027;NF000095;NF033135;NF033135
NZ_JAGFVQ010000011.1	125265	No terminal repeats	99	11	0.9715	NA	5	17.6419	MOBP1	NF033068;NF000496
NZ_JAGMUF010000030.1	46207	No terminal repeats	42	11	0.9891	NA	0	10.9200	NA	NF033135;NF012174
NZ_JAGPXJ010000034.1	68718	No terminal repeats	73	11	0.9873	NA	0	14.1568	T_virB11	NA
NZ_AEJC01000353.1	13278	No terminal repeats	7	11	0.9300	NA	0	1.4847	NA	NA
NZ_AEJC01000620.1	35276	No terminal repeats	35	11	0.9858	NA	2	7.7709	MOBP1	NF033083
NZ_AJJM01000142.1	11486	No terminal repeats	12	11	0.7183	NA	0	1.2246	NA	NA
NZ_JAENRY010000026.1	46046	No terminal repeats	42	11	0.9871	NA	2	2.7625	MOBP1	NF000496
NZ_JAPNLK010000033.1	84572	No terminal repeats	86	11	0.9657	NA	0	5.6900	NA	NF000025
NZ_JARVKV010000005.1	204854	No terminal repeats	144	11	0.9209	NA	0	5.8920	NA	NF000493;NF000487
NZ_JARXYZ010000017.1	166268	No terminal repeats	134	11	0.9233	NA	0	1.0932	NA	NF033134
NZ_JAVDKF010000027.1	49431	No terminal repeats	43	11	0.8657	NA	0	1.9767	NA	NF012174
NZ_JZWY01000743.1	7893	No terminal repeats	5	11	0.9836	NA	0	2.9530	NA	NA
NZ_ATYW01000008.1	281110	No terminal repeats	287	11	0.9699	NA	0	7.4553	NA	NF033134;NF033134;NF033083;NF000027;NF033117
NZ_JALLIN010000040.1	67855	No terminal repeats	64	11	0.9769	NA	0	3.5340	NA	NF033105;NF000402
NZ_JARVKT010000007.1	273721	No terminal repeats	250	11	0.9818	NA	0	13.7034	NA	NF000493
NZ_JARWOP010000062.1	27668	No terminal repeats	25	11	0.8444	NA	0	1.3968	NA	NF033068;NF012174
NZ_JARYZK010000311.1	81639	No terminal repeats	64	11	0.9773	NA	0	3.4997	NA	NF033068
NZ_JASCXS010000026.1	464787	No terminal repeats	396	11	0.9809	NA	0	13.6400	NA	NF033135;NF000119;NF000025;NF000138;NF012178;NF033135;NF033476;NF033135;NF000487;NF000496;NF000496;NF000088
NZ_JASNFO010000075.1	92809	No terminal repeats	59	11	0.9867	NA	0	11.9738	NA	NA
NZ_JAVDJO010000059.1	18569	No terminal repeats	18	11	0.7846	NA	0	5.1775	NA	NF033135
NZ_JAVDJS010000072.1	16040	No terminal repeats	15	11	0.8747	NA	0	6.9693	NA	NA
NZ_JAVDVA010000029.1	81048	No terminal repeats	64	11	0.9906	NA	3	20.4982	NA	NA
NZ_JNYC01000011.1	171873	No terminal repeats	141	11	0.9806	NA	2	12.0302	NA	NF000027
NZ_JOBP01000021.1	121639	No terminal repeats	93	11	0.9314	NA	0	2.6625	NA	NF000241
NZ_JOCH01000023.1	106000	No terminal repeats	78	11	0.9410	NA	0	3.6656	NA	NF000241
NZ_JOEO01000026.1	107754	No terminal repeats	81	11	0.9458	NA	0	3.0138	NA	NF000241
NZ_JOFM01000025.1	107650	No terminal repeats	81	11	0.9420	NA	0	3.0138	NA	NF000241
NZ_JOFT01000055.1	33219	No terminal repeats	35	11	0.9787	NA	0	5.9245	NA	NF000027
NZ_BMRC01000025.1	143204	No terminal repeats	137	11	0.9146	NA	0	6.0461	NA	NF033105;NF012174;NF000095;NF012178
NZ_CM001019.1	1797117	No terminal repeats	1497	11	0.9880	NA	3	84.2519	T_virB9	NF000225;NF000088;NF000493;NF012171;NF000225;NF033105;NF033068;NF012178;NF033476;NF033135;NF012178;NF033129;NF038208;NF033105;NF012178;NF033134;NF012171;NF033156;NF012174;NF000025;NF033476;NF033129;NF012174;NF033105;NF012174;NF033135;NF012174;NF033129
NZ_JALGQF010000006.1	608626	No terminal repeats	581	11	0.9614	NA	0	4.2025	NA	NF000027;NF000095;NF033134;NF000095;NF000095;NF033105;NF033068;NF033085;NF012174;NF000025;NF033135;NF012174
NZ_JAPEMQ010000007.1	68506	No terminal repeats	70	11	0.9877	NA	0	8.9617	NA	NA
NZ_JARBGS010000061.1	14809	No terminal repeats	16	11	0.9775	NA	0	3.2133	NA	NF033083
NZ_JASCXT010000043.1	134810	No terminal repeats	114	11	0.7972	NA	0	1.1426	NA	NA
NZ_JASISZ010000119.1	15129	No terminal repeats	14	11	0.9915	NA	0	8.7950	NA	NA
NZ_JAVDKA010000052.1	23520	No terminal repeats	21	11	0.8880	NA	0	4.8081	NA	NF012174
NZ_ADGX01000049.1	59823	No terminal repeats	50	11	0.9772	NA	0	7.4321	NA	NF012174
NZ_ATYW01000025.1	63461	No terminal repeats	58	11	0.9818	NA	1	8.4327	virb4;T_virB11	NF033068
NZ_BSRP01000026.1	136945	No terminal repeats	137	11	0.9264	NA	0	1.8207	NA	NF033117;NF033134
NZ_JAAGMW010000385.1	16849	No terminal repeats	14	11	0.9756	NA	0	3.5974	NA	NA
NZ_JANURZ010000062.1	59529	No terminal repeats	65	11	0.9824	NA	0	10.6317	NA	NF000095;NF000051;NF012174;NF000469;NF012176
NZ_LWLE01000019.1	84385	No terminal repeats	79	11	0.9786	NA	0	2.9080	NA	NA
NZ_LXWD01000014.1	45488	No terminal repeats	39	11	0.9513	NA	0	5.5562	NA	NA
NZ_MBLO01000044.1	48136	No terminal repeats	35	11	0.9555	NA	0	3.2415	NA	NA
NZ_MCNU01000034.1	167001	No terminal repeats	135	11	0.9821	NA	1	12.7959	NA	NF000241;NF012174
NZ_MDHK01000004.1	95809	No terminal repeats	86	11	0.8803	NA	0	4.1005	NA	NF012174;NF000095
NZ_MRUJ01000162.1	6593	No terminal repeats	8	11	0.9725	NA	0	2.2456	NA	NA
NZ_MUMC01000122.1	47027	No terminal repeats	48	11	0.9768	NA	0	5.7837	NA	NA
NZ_NOWW01000021.1	36861	No terminal repeats	41	11	0.9861	NA	0	5.4189	NA	NA
NZ_QGTL01000006.1	376565	No terminal repeats	337	11	0.9775	NA	2	19.9759	T_virB9	NF000095;NF033476;NF033129;NF033129
NZ_RBAM01000034.1	27555	No terminal repeats	17	11	0.9227	NA	0	3.7031	NA	NA
NZ_RIBT01000031.1	72593	No terminal repeats	56	11	0.9553	NA	0	3.0224	NA	NA
NZ_RPSB01000002.1	365898	No terminal repeats	325	11	0.9802	NA	5	7.7088	MOBP1;MOBP1	NF000095;NF033068;NF033135
NZ_SHSV01000031.1	9331	No terminal repeats	7	11	0.8195	NA	0	1.6628	NA	NA
NZ_SMJW01000218.1	13334	No terminal repeats	11	11	0.8158	NA	0	2.2377	NA	NA
NZ_SPBA01000123.1	20861	DTR	17	11	0.9726	NA	0	3.8178	NA	NF033083
NZ_VKAB01000081.1	15799	No terminal repeats	15	11	0.9900	NA	2	7.3398	MOBP1	NF033068;NF033068
NZ_WOXS01000001.1	244846	No terminal repeats	234	11	0.9923	NA	5	61.1311	NA	NF033068
NZ_WWIA01000371.1	21497	No terminal repeats	20	11	0.9361	NA	0	4.9686	NA	NF033083
NZ_BMNG01000007.1	465300	No terminal repeats	411	11	0.9720	NA	0	5.4352	NA	NF000402;NF000373;NF012178;NF000088;NF033145;NF033135;NF033114;NF000402;NF033156;NF012174;NF033085;NF012174
NZ_BMSO01000039.1	23784	No terminal repeats	25	11	0.9608	NA	0	2.7336	NA	NA
NZ_BOMV01000107.1	63865	No terminal repeats	55	11	0.9577	NA	0	2.5241	NA	NA
NZ_BONZ01000031.1	121582	No terminal repeats	80	11	0.9036	NA	0	3.4304	NA	NF033068
NZ_CAAAFT010000310.1	29062	No terminal repeats	20	11	0.9844	NA	0	6.4951	NA	NF000098
NZ_CAUVPU010000041.1	20853	No terminal repeats	17	11	0.9345	NA	0	2.6158	NA	NA
NZ_CP086233.1	1795699	ITR	1495	11	0.9880	NA	3	84.5851	T_virB9	NF000225;NF000088;NF000493;NF012171;NF000225;NF033105;NF033068;NF012178;NF033476;NF033135;NF012178;NF033129;NF038208;NF033105;NF012178;NF033134;NF012171;NF033156;NF012174;NF000025;NF033476;NF033129;NF012174;NF033105;NF012174;NF033135;NF012174;NF033129
NZ_FMCV01000042.1	15163	No terminal repeats	18	11	0.9527	NA	0	3.5574	NA	NA
NZ_FNET01000034.1	45208	No terminal repeats	44	11	0.9866	NA	0	20.8104	T_virB11	NA
NZ_FTRN01000028.1	26004	No terminal repeats	31	11	0.8553	NA	0	1.9002	NA	NA
NZ_FZNR01000031.1	97014	No terminal repeats	92	11	0.9781	NA	0	4.3225	NA	NF033083
NZ_JAAAHS010000486.1	5007	No terminal repeats	5	11	0.9677	NA	0	2.7404	NA	NA
NZ_JAAGLI010000941.1	43402	No terminal repeats	46	11	0.9867	NA	0	19.7357	T_virB11	NF000165;NF033068
NZ_JAAGMU010001191.1	24123	No terminal repeats	22	11	0.9816	NA	0	3.2556	NA	NA
NZ_JAAGMZ010000252.1	21343	No terminal repeats	25	11	0.9349	NA	0	2.6843	NA	NF000373
NZ_JAAGNI010000297.1	29050	No terminal repeats	31	11	0.8214	NA	1	1.8077	MOBQ	NA
NZ_JAATER010000593.1	4216	No terminal repeats	3	11	0.9010	NA	0	1.3837	NA	NA
NZ_JAAZTW010000032.1	47410	No terminal repeats	32	11	0.8995	NA	0	2.3655	NA	NF033129;NF012178
NZ_JABBGD010000027.1	45368	No terminal repeats	35	11	0.7224	NA	0	2.7157	NA	NF000095
NZ_AABM02000034.1	11557	No terminal repeats	11	11	0.8457	NA	0	1.6628	NA	NA
NZ_AEJB01000670.1	18957	No terminal repeats	15	11	0.8692	NA	0	2.0795	NA	NF033083
NZ_AEJC01000428.1	25025	No terminal repeats	23	11	0.9642	NA	1	4.6769	NA	NA
NZ_ALAP01000073.1	55821	No terminal repeats	52	11	0.8577	NA	0	4.5331	NA	NF000469;NF033135
NZ_ANAX01000299.1	4882	No terminal repeats	3	11	0.8381	NA	0	1.2610	NA	NA
NZ_AP026074.1	1073703	No terminal repeats	955	11	0.9857	NA	2	59.6308	NA	NF000496;NF033114;NF012178;NF033105;NF033114;NF033105;NF033476;NF033156;NF033134;NF000025;NF033134;NF000125;NF038306;NF000095;NF012178;NF000088;NF033129
NZ_AUZK01000001.1	748443	No terminal repeats	751	11	0.9514	NA	0	1.4174	NA	NF000095;NF000095;NF000095;NF033105;NF033068;NF033085;NF000025;NF033105;NF033085;NF000373;NF033134
NZ_JAHODH010000024.1	36858	No terminal repeats	38	11	0.9618	NA	1	9.7886	FATA_prgF;FATA_prgIb;FATA_cd411	NA
NZ_JAHSQD010000686.1	3906	No terminal repeats	3	11	0.9474	NA	0	1.5693	NA	NA
NZ_JAIFOQ010000017.1	48015	No terminal repeats	50	11	0.9825	NA	0	8.8669	NA	NF000373
NZ_JAINVH010000053.1	33961	No terminal repeats	25	11	0.9649	NA	0	2.6862	NA	NA
NZ_BRXJ01000064.1	28797	No terminal repeats	38	11	0.9846	NA	0	10.6133	NA	NF033134
NZ_CAKJTQ010000021.1	43785	No terminal repeats	38	11	0.9709	NA	0	4.5464	NA	NA
NZ_CP012186.1	206535	No terminal repeats	235	11	0.9872	NA	1	43.8383	NA	NF033068;NF000493
NZ_JAATER010000199.1	11856	No terminal repeats	9	11	0.9654	NA	0	2.2130	NA	NA
NZ_JABSUD010000007.1	76863	No terminal repeats	73	11	0.9822	NA	0	2.2643	NA	NF000225
NZ_JASCXL010000024.1	95845	No terminal repeats	105	11	0.9903	NA	1	9.6830	NA	NF033135
NZ_MUMD01000420.1	8708	No terminal repeats	7	11	0.7320	NA	0	1.6470	NA	NA
NZ_MUNI01000199.1	45118	No terminal repeats	35	11	0.8374	NA	0	0.2970	NA	NF000095
NZ_PGSG01000075.1	8320	No terminal repeats	8	11	0.9279	NA	0	1.2965	NA	NA
NZ_PJJM01000101.1	169800	No terminal repeats	152	11	0.9546	NA	1	6.5961	NA	NF033135
NZ_PSTV01000019.1	41904	No terminal repeats	38	11	0.7866	NA	0	0.4705	NA	NF012174
NZ_QGMR01000694.1	10045	No terminal repeats	12	11	0.9861	NA	0	3.6647	NA	NA
NZ_QMEY01000014.1	222500	No terminal repeats	212	11	0.9649	NA	0	8.1913	NA	NF033134;NF033068;NF000098;NF000402
NZ_WMCA01000102.1	13975	No terminal repeats	12	11	0.9872	NA	0	3.3345	NA	NA
NZ_JAATEM010000049.1	29680	No terminal repeats	26	11	0.7552	NA	0	0.8411	NA	NF012178;NF012174
NZ_JABTTT010000019.1	110040	No terminal repeats	72	11	0.7991	NA	0	0.3539	NA	NF012178
NZ_JOGV01000005.1	227633	No terminal repeats	210	11	0.9892	NA	0	42.8777	NA	NF033134;NF033088;NF033068;NF033068;NF012174
NZ_WWJX01000257.1	37882	No terminal repeats	43	11	0.9478	NA	0	2.1087	NA	NA
NZ_AWOO02000009.1	227583	No terminal repeats	219	11	0.9550	NA	0	9.5033	NA	NF033117;NF033145
NZ_BMSK01000002.1	615847	No terminal repeats	498	11	0.9821	NA	0	24.6995	NA	NF000051;NF012178;NF012174;NF012178;NF033476;NF012178;NF033068;NF033068;NF038306
NZ_BMVI01000039.1	69369	No terminal repeats	63	11	0.8362	NA	0	1.5426	NA	NF012174
NZ_CAAAFT010000461.1	11002	No terminal repeats	7	11	0.9246	NA	0	1.7496	NA	NA
NZ_CP012575.1	145549	DTR	167	11	0.9821	NA	4	39.0236	NA	NF012174;NF033156
NZ_CP101138.1	110082	No terminal repeats	83	11	0.9859	NA	1	29.4909	NA	NF033083
NZ_FMCA01000001.1	45813	No terminal repeats	37	11	0.9856	NA	2	8.0532	MOBP1	NA
NZ_JAATEL010000048.1	16491	No terminal repeats	13	11	0.9763	NA	0	2.2536	NA	NF000095
NZ_JABCPZ010000065.1	45247	No terminal repeats	53	11	0.9102	NA	0	0.5381	NA	NA
NZ_JABSUG010000011.1	80573	No terminal repeats	77	11	0.9830	NA	0	2.7599	NA	NF000225
NZ_JAPVLS010000093.1	34262	No terminal repeats	31	11	0.9774	NA	0	1.7783	NA	NA
NZ_JAUALB010000004.1	143715	No terminal repeats	144	11	0.9878	NA	1	21.9552	NA	NA
NZ_JAVDJN010000013.1	17999	No terminal repeats	15	11	0.8402	NA	0	5.9976	NA	NA
NZ_JAVRFI010000027.1	97369	No terminal repeats	101	11	0.9894	NA	1	9.7103	NA	NF000025;NF033129
NZ_JENI01000039.1	45342	No terminal repeats	39	11	0.9792	NA	1	6.1250	T_virB11	NA
NZ_BLAF01000140.1	3981	No terminal repeats	2	11	0.9356	NA	0	1.3837	NA	NA
NZ_CAKJTR010000111.1	17420	No terminal repeats	12	11	0.9385	NA	0	1.8212	NA	NA
NZ_MULI01000089.1	27681	No terminal repeats	27	11	0.7783	NA	0	2.0885	NA	NA
NZ_NTFT01000195.1	7937	No terminal repeats	8	11	0.8467	NA	0	1.1944	NA	NF012178
NZ_PKKK01000008.1	12680	No terminal repeats	10	11	0.7272	NA	0	0.0000	NA	NA
NZ_QYZT01000105.1	189042	No terminal repeats	189	11	0.9894	NA	5	9.7656	MOBP1;MOBP1	NA
NZ_VKLS01000168.1	11338	No terminal repeats	10	11	0.7910	NA	0	1.9510	NA	NF033105
NC_015561.1	106784	No terminal repeats	97	11	0.9914	NA	2	45.3730	NA	NA
NZ_AEJB01000361.1	717473	No terminal repeats	675	11	0.9850	NA	1	56.8591	NA	NF000469;NF033135;NF033068;NF000482;NF033068;NF033068;NF012174;NF033134;NF033135;NF033135;NF033068;NF033068
NZ_AEJC01000510.1	13062	No terminal repeats	8	11	0.7998	NA	0	0.9886	NA	NA
NZ_AMLP01000136.1	31563	No terminal repeats	26	11	0.9889	NA	2	4.1445	MOBP1	NF033083
NZ_AZSS01000353.1	89961	No terminal repeats	88	11	0.9608	NA	0	6.1048	NA	NF033068;NF000402;NF033103;NF033135
NZ_BBYJ01000013.1	248521	No terminal repeats	205	11	0.9141	NA	0	7.6707	NA	NF033135;NF012178;NF033156;NF000402;NF033134;NF012178;NF033156;NF012174
NZ_BMRN01000072.1	22034	No terminal repeats	24	11	0.9817	NA	0	12.0892	NA	NA
NZ_CALNDK010000020.1	31079	No terminal repeats	30	11	0.9472	NA	0	0.1097	NA	NA
NZ_CAUUIY010000044.1	27344	No terminal repeats	25	11	0.9110	NA	0	4.9481	NA	NA
NZ_CAUUYB010000017.1	50208	No terminal repeats	55	11	0.9349	NA	0	7.9172	T_virB11	NF000496
NZ_CP024895.1	306129	No terminal repeats	287	11	0.9765	NA	5	22.6045	MOBP1	NF012178;NF012174;NF012178
NZ_CP048048.1	143028	No terminal repeats	165	11	0.9809	NA	3	34.6017	NA	NF033156;NF012174
NZ_FQVN01000014.1	135959	No terminal repeats	119	11	0.9195	NA	0	3.2038	NA	NF033134;NF033135;NF033105;NF033135;NF012174
NZ_FRFF01000126.1	60288	No terminal repeats	63	11	0.9892	NA	0	3.6532	NA	NF033068
NZ_FZNP01000026.1	66091	No terminal repeats	66	11	0.9911	NA	2	13.7491	MOBP1	NA
NZ_GL882519.1	65473	No terminal repeats	58	11	0.7207	NA	0	3.0556	NA	NA
NZ_JAAAHS010000260.1	11080	No terminal repeats	16	11	0.9752	NA	0	3.8459	NA	NA
NZ_JABSUM010000073.1	30987	No terminal repeats	35	11	0.9850	NA	0	1.0008	NA	NF000225
NZ_JACEGJ010000459.1	6812	No terminal repeats	7	11	0.9639	NA	0	4.1601	NA	NA
NZ_JACMHY010000007.1	435634	No terminal repeats	398	11	0.9775	NA	0	10.2663	NA	NF000095;NF033135;NF033105;NF000025;NF000487;NF033135;NF033135;NF033135;NF000469;NF033105;NF000469;NF033134;NF000095;NF000025;NF000496;NF033105
