	Accession_DB	Localisation	start	end	Nuccore	Close_prophage	Cluster	Type	sys_id	Position	replicon	Assembly	New_clade	Type_defensive	Sys_close	Nb_sys_close	Close_type	Close_sys_id	In_plasmid	Close_conservon	LanC	Dehydra_N_Thiopep	Dehydra	Thiopep_Methyl	Methyl	Thiopep	Transporter
993	GCF_003002095.1_NZ_PVZC01000005.1_04769	270365:271643	270365	271643	NZ_PVZC01000005.1	0	GCF_003002095.1_NZ_PVZC01000005.1_04769	lanthipeptide-class-i	GCF_003002095.1_NZ_PVZC01000005.1.region001_lanthipeptide-class-i_258279_284724	4769	GCF_003002095.1_NZ_PVZC01000005.1	GCF_003002095.1	Clade 6	Lanthiphage	1.0	2.0	RM_Type_I|SspBCDE	GCF_003002095.1_RM_Type_I_10|GCF_003002095.1_SspBCDE_9	0	0.0	1	1	0	1	0	0	0
994	GCF_003013745.1_NZ_MUYY01000001.1_04945	54571:55972	54571	55972	NZ_MUYY01000001.1	0	GCF_003671685.1_NZ_RAIG01000561.1_02237	lanthipeptide-class-i	GCF_003013745.1_NZ_MUYY01000001.1.region001_lanthipeptide-class-i_44572_69131	4945	GCF_003013745.1_NZ_MUYY01000001.1	GCF_003013745.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	2
995	GCF_003014485.1_NZ_PYGA01000012.1_06211	63894:64974	63894	64974	NZ_PYGA01000012.1	0	GCF_003014485.1_NZ_PYGA01000012.1_06211	lanthipeptide-class-i	GCF_003014485.1_NZ_PYGA01000012.1.region001_lanthipeptide-class-i_51548_77614	6211	GCF_003014485.1_NZ_PYGA01000012.1	GCF_003014485.1	Clade 4	Lanthiphage	0.0				0	0.0	1	1	0	0	2	1	1
996	GCF_003014485.1_NZ_PYGA01000024.1_00876	13988:15167	13988	15167	NZ_PYGA01000024.1	0	GCF_003014485.1_NZ_PYGA01000024.1_00876	lanthipeptide-class-i	GCF_003014485.1_NZ_PYGA01000024.1.region001_lanthipeptide-class-i_3989_28218	876	GCF_003014485.1_NZ_PYGA01000024.1	GCF_003014485.1	Clade 7	Lanthiphage	0.0				0	0.0	1	1	0	0	1	0	0
997	GCF_003014485.1_NZ_PYGA01000041.1_04711	22458:23880	22458	23880	NZ_PYGA01000041.1	0	GCF_003014485.1_NZ_PYGA01000041.1_04711	lanthipeptide-class-i	GCF_003014485.1_NZ_PYGA01000041.1.region001_lanthipeptide-class-i_12459_33138	4711	GCF_003014485.1_NZ_PYGA01000041.1	GCF_003014485.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	1	0	1
998	GCF_003014735.1_NZ_PYAX01000013.1_03455	156154:157327	156154	157327	NZ_PYAX01000013.1	0	GCF_003634935.1_NZ_RBXO01000001.1_02121	lanthipeptide-class-i	GCF_003014735.1_NZ_PYAX01000013.1.region002_lanthipeptide-class-i_143102_167328	3455	GCF_003014735.1_NZ_PYAX01000013.1	GCF_003014735.1	Clade 7	Lanthiphage	0.0				0	0.0	1	1	0	0	1	0	0
999	GCF_003032475.1_NZ_CP028369.1_01994	2339300:2340476	2339300	2340476	NZ_CP028369.1	0	GCF_001672315.1_NZ_LWAB01000002.1_01105	lanthipeptide-class-i	GCF_003032475.1_NZ_CP028369.1.region006_lanthipeptide-class-i_2327871_2350437	1994	GCF_003032475.1_NZ_CP028369.1	GCF_003032475.1	Clade 7	Lanthiphage	0.0				0	0.0	1	1	0	0	1	0	0
1000	GCF_003032475.1_NZ_CP028369.1_06126	7366592:7367816	7366592	7367816	NZ_CP028369.1	0	GCF_020982545.1_NZ_JAJKLK010000003.1_02310	lanthipeptide-class-i	GCF_003032475.1_NZ_CP028369.1.region020_lanthipeptide-class-i_7355610_7380864	6126	GCF_003032475.1_NZ_CP028369.1	GCF_003032475.1	Clade 1	Lanthiphage	0.0				0	1.0	1	1	0	0	3	1	0
1001	GCF_003041235.1_NZ_PZKK01000001.1_05180	1432857:1433925	1432857	1433925	NZ_PZKK01000001.1	0	GCF_000716935.1_NZ_JNWU01000004.1_06646	lanthipeptide-class-i	GCF_003041235.1_NZ_PZKK01000001.1.region006_lanthipeptide-class-i_1420780_1445962	5180	GCF_003041235.1_NZ_PZKK01000001.1	GCF_003041235.1	Clade 8	Lanthiphage	0.0				0	1.0	1	0	1	1	0	0	1
1002	GCF_003046555.1_NZ_PZZX01000021.1_05705	22160:23336	22160	23336	NZ_PZZX01000021.1	0	GCF_001672315.1_NZ_LWAB01000002.1_01105	lanthipeptide-class-i	GCF_003046555.1_NZ_PZZX01000021.1.region001_lanthipeptide-class-i_9108_33337	5705	GCF_003046555.1_NZ_PZZX01000021.1	GCF_003046555.1	Clade 7	Lanthiphage	0.0				0	0.0	1	1	0	0	1	0	0
1003	GCF_003058225.1_NZ_QBUG01000001.1_04434	1254992:1256285	1254992	1256285	NZ_QBUG01000001.1	0	GCF_003058225.1_NZ_QBUG01000001.1_04434	lanthipeptide-class-i	GCF_003058225.1_NZ_QBUG01000001.1.region001_lanthipeptide-class-i_1244085_1280599	4434	GCF_003058225.1_NZ_QBUG01000001.1	GCF_003058225.1	Clade 2	Lanthiphage	1.0	1.0	AbiD	GCF_003058225.1_AbiD_1	0	0.0	2	0	1	0	2	2	0
1005	GCF_003058225.1_NZ_QBUG01000001.1_04445	1268502:1269678	1268502	1269678	NZ_QBUG01000001.1	0	GCF_003058225.1_NZ_QBUG01000001.1_04445	lanthipeptide-class-i	GCF_003058225.1_NZ_QBUG01000001.1.region001_lanthipeptide-class-i_1244085_1280599	4445	GCF_003058225.1_NZ_QBUG01000001.1	GCF_003058225.1	Clade 2	Lanthiphage	0.0				0	0.0	2	0	1	0	2	2	0
1007	GCF_003058225.1_NZ_QBUG01000004.1_05427	161183:162434	161183	162434	NZ_QBUG01000004.1	0	GCF_003058225.1_NZ_QBUG01000004.1_05427	lanthipeptide-class-i	GCF_003058225.1_NZ_QBUG01000004.1.region001_lanthipeptide-class-i_148311_172435	5427	GCF_003058225.1_NZ_QBUG01000004.1	GCF_003058225.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	1	0	0
1008	GCF_003097515.1_NZ_CP029188.1_05843	7129693:7130842	7129693	7130842	NZ_CP029188.1	1	GCF_000725655.1_NZ_JOIV01000031.1_05931	lanthipeptide-class-i	GCF_003097515.1_NZ_CP029188.1.region028_lanthipeptide-class-i_7118724_7143860	5843	GCF_003097515.1_NZ_CP029188.1	GCF_003097515.1	Clade 3	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1009	GCF_003112555.1_NZ_BEWB01000004.1_07111	592851:593994	592851	593994	NZ_BEWB01000004.1	0	GCF_009862125.1_NZ_WWHX01000087.1_01864	lanthipeptide-class-i	GCF_003112555.1_NZ_BEWB01000004.1.region006_lanthipeptide-class-i_582852_607003	7111	GCF_003112555.1_NZ_BEWB01000004.1	GCF_003112555.1	Clade 7	Lanthiphage	1.0	1.0	CAS_Class1-Subtype-I-E	GCF_003112555.1_CAS_Class1-Subtype-I-E_9	0	0.0	1	1	0	0	1	0	0
1010	GCF_003112555.1_NZ_BEWB01000015.1_00157	174532:175804	174532	175804	NZ_BEWB01000015.1	0	GCF_013010335.1_NZ_JABERR010000003.1_03349	lanthipeptide-class-i	GCF_003112555.1_NZ_BEWB01000015.1.region003_lanthipeptide-class-i_162427_188735	157	GCF_003112555.1_NZ_BEWB01000015.1	GCF_003112555.1	Clade 10	Lanthiphage	0.0				1	0.0	1	1	0	1	0	0	0
1011	GCF_003112555.1_NZ_BEWB01000022.1_04084	47081:48341	47081	48341	NZ_BEWB01000022.1	0	GCF_024349765.1_NZ_AP026073.1_01831	lanthipeptide-class-i	GCF_003112555.1_NZ_BEWB01000022.1.region001_lanthipeptide-class-i_33993_60451	4084	GCF_003112555.1_NZ_BEWB01000022.1	GCF_003112555.1	Clade 9	Lanthiphage	0.0				1	1.0	1	1	0	1	1	0	1
1012	GCF_003112595.1_NZ_BEWD01000004.1_06705	1380540:1381941	1380540	1381941	NZ_BEWD01000004.1	0	GCF_003671685.1_NZ_RAIG01000561.1_02237	lanthipeptide-class-i	GCF_003112595.1_NZ_BEWD01000004.1.region004_lanthipeptide-class-i_1370541_1395094	6705	GCF_003112595.1_NZ_BEWD01000004.1	GCF_003112595.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	2
1013	GCF_003116675.1_NZ_KZ819159.1_06315	6708831:6710160	6708831	6710160	NZ_KZ819159.1	0	GCF_000373405.1_NZ_KB891308.1_04075	lanthipeptide-class-i	GCF_003116675.1_NZ_KZ819159.1.region020_lanthipeptide-class-i_6698832_6723247	6315	GCF_003116675.1_NZ_KZ819159.1	GCF_003116675.1	Non Defensive	lanthipeptide-class-i	0.0				0	1.0	1	1	0	0	0	0	1
1014	GCF_003116755.1_NZ_KZ819178.1_05515	6311971:6313237	6311971	6313237	NZ_KZ819178.1	0	GCF_009865365.1_NZ_WWJS01000031.1_01053	lanthipeptide-class-i	GCF_003116755.1_NZ_KZ819178.1.region025_lanthipeptide-class-i_6298880_6325329	5515	GCF_003116755.1_NZ_KZ819178.1	GCF_003116755.1	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	0
1015	GCF_003121585.1_NZ_QEOO01000016.1_04185	568888:570157	568888	570157	NZ_QEOO01000016.1	0	GCF_003121585.1_NZ_QEOO01000016.1_04185	lanthipeptide-class-i	GCF_003121585.1_NZ_QEOO01000016.1.region002_lanthipeptide-class-i_555794_582361	4185	GCF_003121585.1_NZ_QEOO01000016.1	GCF_003121585.1	Clade 10	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	0
1016	GCF_003121585.1_NZ_QEOO01000051.1_03117	166531:167695	166531	167695	NZ_QEOO01000051.1	0	GCF_003121585.1_NZ_QEOO01000051.1_03117	lanthipeptide-class-i	GCF_003121585.1_NZ_QEOO01000051.1.region001_lanthipeptide-class-i_153473_177696	3117	GCF_003121585.1_NZ_QEOO01000051.1	GCF_003121585.1	Clade 7	Lanthiphage	1.0	3.0	AbiE|RM_Type_II|Wadjet_I	GCF_003121585.1_AbiE_1|GCF_003121585.1_RM_Type_II_10|GCF_003121585.1_Wadjet_I_5	0	0.0	1	1	0	0	1	0	0
1017	GCF_003122345.2_NZ_QFBD02000002.1_05087	311807:312986	311807	312986	NZ_QFBD02000002.1	0	GCF_018070345.1_NZ_JAGPXX010000003.1_05452	lanthipeptide-class-i	GCF_003122345.2_NZ_QFBD02000002.1.region001_lanthipeptide-class-i_298782_323959	5087	GCF_003122345.2_NZ_QFBD02000002.1	GCF_003122345.2	Clade 3	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	1
1018	GCF_003122345.2_NZ_QFBD02000006.1_01943	406217:407492	406217	407492	NZ_QFBD02000006.1	0	GCF_000700005.2_NZ_JNAD02000015.1_01297	lanthipeptide-class-i	GCF_003122345.2_NZ_QFBD02000006.1.region003_lanthipeptide-class-i_394090_420491	1943	GCF_003122345.2_NZ_QFBD02000006.1	GCF_003122345.2	Clade 10	Lanthiphage	1.0	1.0	Tiamat	GCF_003122345.2_Tiamat_5	1	0.0	1	1	0	1	0	0	0
1019	GCF_003122365.1_NZ_CP029254.1_01491	1887446:1888610	1887446	1888610	NZ_CP029254.1	0	GCF_003122365.1_NZ_CP029254.1_01491	lanthipeptide-class-i	GCF_003122365.1_NZ_CP029254.1.region007_lanthipeptide-class-i_1877526_1901484	1491	GCF_003122365.1_NZ_CP029254.1	GCF_003122365.1	Clade 7	Lanthiphage	0.0				0	0.0	1	1	0	0	1	0	1
1020	GCF_003122365.1_NZ_CP029254.1_04644	5765514:5766774	5765514	5766774	NZ_CP029254.1	0	GCF_024349765.1_NZ_AP026073.1_01831	lanthipeptide-class-i	GCF_003122365.1_NZ_CP029254.1.region016_lanthipeptide-class-i_5753406_5779860	4644	GCF_003122365.1_NZ_CP029254.1	GCF_003122365.1	Clade 9	Lanthiphage	0.0				0	1.0	1	1	0	1	0	0	0
1021	GCF_003129505.1_NZ_QFDR01000068.1_07050	34381:35491	34381	35491	NZ_QFDR01000068.1	0	GCF_003129505.1_NZ_QFDR01000068.1_07050	lanthipeptide-class-i	GCF_003129505.1_NZ_QFDR01000068.1.region001_lanthipeptide-class-i_23378_48500	7050	GCF_003129505.1_NZ_QFDR01000068.1	GCF_003129505.1	Clade 3	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1022	GCF_003148825.1_NZ_QGGZ01000001.1_05069	596283:597582	596283	597582	NZ_QGGZ01000001.1	0	GCF_024213195.1_NZ_JANAVF010000016.1_02117	lanthipeptide-class-i	GCF_003148825.1_NZ_QGGZ01000001.1.region004_lanthipeptide-class-i_586284_610723	5069	GCF_003148825.1_NZ_QGGZ01000001.1	GCF_003148825.1	Non Defensive	lanthipeptide-class-i	1.0	2.0	ShosTA|Tiamat	GCF_003148825.1_ShosTA_3|GCF_003148825.1_Tiamat_4	0	0.0	1	1	0	0	0	0	2
1023	GCF_003172935.1_NZ_QGKS01000299.1_03119	4362:5433	4362	5433	NZ_QGKS01000299.1	0	GCF_003176715.1_NZ_QGSW01000063.1_02899	lanthipeptide-class-i	GCF_003172935.1_NZ_QGKS01000299.1.region001_lanthipeptide-class-i_1_5690	3119	GCF_003172935.1_NZ_QGKS01000299.1	GCF_003172935.1	Clade 4	Lanthiphage	0.0				1	0.0	1	0	0	0	0	1	0
1024	GCF_003173275.1_NZ_CP029541.1_07302	8797518:8798922	8797518	8798922	NZ_CP029541.1	0	GCF_009811635.1_NZ_BLIR01000001.1_02012	lanthipeptide-class-i	GCF_003173275.1_NZ_CP029541.1.region029_lanthipeptide-class-i_8787519_8812156	7302	GCF_003173275.1_NZ_CP029541.1	GCF_003173275.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	1
1025	GCF_003173645.1_NZ_QGMR01000948.1_02306	14032:15277	14032	15277	NZ_QGMR01000948.1	0	GCF_003173645.1_NZ_QGMR01000948.1_02306	lanthipeptide-class-i	GCF_003173645.1_NZ_QGMR01000948.1.region001_lanthipeptide-class-i_3183_28175	2306	GCF_003173645.1_NZ_QGMR01000948.1	GCF_003173645.1	Clade 5	Lanthiphage	0.0				1	0.0	1	1	0	0	1	1	1
1026	GCF_003176715.1_NZ_QGSW01000063.1_02899	4407:5475	4407	5475	NZ_QGSW01000063.1	0	GCF_003176715.1_NZ_QGSW01000063.1_02899	lanthipeptide-class-i	GCF_003176715.1_NZ_QGSW01000063.1.region001_lanthipeptide-class-i_1_16882	2899	GCF_003176715.1_NZ_QGSW01000063.1	GCF_003176715.1	Clade 4	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1027	GCF_003182025.1_NZ_QGTF01000010.1_02799	93228:94638	93228	94638	NZ_QGTF01000010.1	0	GCF_000340965.1_NZ_ANAY01000021.1_03699	lanthipeptide-class-i	GCF_003182025.1_NZ_QGTF01000010.1.region001_lanthipeptide-class-i_80173_104639	2799	GCF_003182025.1_NZ_QGTF01000010.1	GCF_003182025.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	3
1028	GCF_003182415.1_NZ_QHCP01000016.1_03103	74463:75660	74463	75660	NZ_QHCP01000016.1	0	GCF_000564855.1_NZ_AYXG01000004.1_06088	lanthipeptide-class-i	GCF_003182415.1_NZ_QHCP01000016.1.region001_lanthipeptide-class-i_60797_85661	3103	GCF_003182415.1_NZ_QHCP01000016.1	GCF_003182415.1	Non Defensive	lanthipeptide-class-i	1.0	1.0	RM_Type_I	GCF_003182415.1_RM_Type_I_9	0	0.0	1	0	0	0	0	1	2
1029	GCF_003185945.1_NZ_QHLO01000008.1_00512	24075:25476	24075	25476	NZ_QHLO01000008.1	0	GCF_029853735.1_NZ_CP122562.1_01302	lanthipeptide-class-i	GCF_003185945.1_NZ_QHLO01000008.1.region001_lanthipeptide-class-i_10901_35477	512	GCF_003185945.1_NZ_QHLO01000008.1	GCF_003185945.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	1	1	0	0	0	0	0
1030	GCF_003202235.1_NZ_MASU01000004.1_07329	28899:30111	28899	30111	NZ_MASU01000004.1	0	GCF_003202235.1_NZ_MASU01000004.1_07329	lanthipeptide-class-i	GCF_003202235.1_NZ_MASU01000004.1.region001_lanthipeptide-class-i_17938_38735	7329	GCF_003202235.1_NZ_MASU01000004.1	GCF_003202235.1	Clade 2	Lanthiphage	1.0	1.0	RM_Type_I	GCF_003202235.1_RM_Type_I_9	0	0.0	1	0	2	0	1	1	0
1031	GCF_003202285.1_NZ_MASW01000008.1_04943	57909:59160	57909	59160	NZ_MASW01000008.1	0	GCF_000244955.1_NZ_CM001439.1_00106	lanthipeptide-class-i	GCF_003202285.1_NZ_MASW01000008.1.region001_lanthipeptide-class-i_44800_71300	4943	GCF_003202285.1_NZ_MASW01000008.1	GCF_003202285.1	Clade 10	Lanthiphage	0.0				1	0.0	1	1	0	1	1	0	1
1032	GCF_003202285.1_NZ_MASW01000019.1_04890	15800:16802	15800	16802	NZ_MASW01000019.1	0	GCF_014873915.1_NZ_JADBEJ010000005.1_05567	lanthipeptide-class-i	GCF_003202285.1_NZ_MASW01000019.1.region001_lanthipeptide-class-i_2761_18121	4890	GCF_003202285.1_NZ_MASW01000019.1	GCF_003202285.1	Clade 1	Lanthiphage	0.0				1	0.0	1	1	0	0	1	0	0
1033	GCF_003236305.1_NZ_POTX01000071.1_04256	870:2100	870	2100	NZ_POTX01000071.1	0	GCF_003581605.1_NZ_QXIQ01000061.1_01810	lanthipeptide-class-i	GCF_003236305.1_NZ_POTX01000071.1.region001_lanthipeptide-class-i_1_15142	4256	GCF_003236305.1_NZ_POTX01000071.1	GCF_003236305.1	Clade 5	Lanthiphage	0.0				1	0.0	1	1	0	0	1	1	0
1034	GCF_003236315.1_NZ_POTY01000174.1_03668	11828:12905	11828	12905	NZ_POTY01000174.1	0	GCF_018070435.1_NZ_JAGPXQ010000035.1_06028	lanthipeptide-class-i	GCF_003236315.1_NZ_POTY01000174.1.region001_lanthipeptide-class-i_1_15795	3668	GCF_003236315.1_NZ_POTY01000174.1	GCF_003236315.1	Clade 4	Lanthiphage	0.0				1	0.0	1	1	0	0	1	1	0
1035	GCF_003236335.1_NZ_POUB01000003.1_04644	75384:76647	75384	76647	NZ_POUB01000003.1	0	GCF_000484695.1_NZ_AXVR01000002.1_00355	lanthipeptide-class-i	GCF_003236335.1_NZ_POUB01000003.1.region001_lanthipeptide-class-i_62359_86214	4644	GCF_003236335.1_NZ_POUB01000003.1	GCF_003236335.1	Clade 6	Lanthiphage	1.0	1.0	RM_Type_I	GCF_003236335.1_RM_Type_I_2	0	0.0	1	1	0	1	0	0	0
1036	GCF_003236385.1_NZ_POUA01000006.1_04067	30457:31714	30457	31714	NZ_POUA01000006.1	0	GCF_003236385.1_NZ_POUA01000006.1_04067	lanthipeptide-class-i	GCF_003236385.1_NZ_POUA01000006.1.region001_lanthipeptide-class-i_18189_44786	4067	GCF_003236385.1_NZ_POUA01000006.1	GCF_003236385.1	Clade 8	Lanthiphage	1.0	1.0	RM_Type_IIG	GCF_003236385.1_RM_Type_IIG_6	0	0.0	1	0	1	1	0	0	1
1037	GCF_003236385.1_NZ_POUA01000008.1_06138	17677:18583	17677	18583	NZ_POUA01000008.1	0	GCF_003236385.1_NZ_POUA01000008.1_06138	lanthipeptide-class-i	GCF_003236385.1_NZ_POUA01000008.1.region001_lanthipeptide-class-i_4730_28584	6138	GCF_003236385.1_NZ_POUA01000008.1	GCF_003236385.1	Non Defensive	lanthipeptide-class-i	1.0	1.0	Dnd_ABCDE	GCF_003236385.1_Dnd_ABCDE_3	1	0.0	1	1	0	0	0	0	0
1038	GCF_003236385.1_NZ_POUA01000244.1_03003	7137:8232	7137	8232	NZ_POUA01000244.1	0	GCF_003236385.1_NZ_POUA01000244.1_03003	lanthipeptide-class-i	GCF_003236385.1_NZ_POUA01000244.1.region001_lanthipeptide-class-i_1_11841	3003	GCF_003236385.1_NZ_POUA01000244.1	GCF_003236385.1	Clade 2	Lanthiphage	0.0				1	0.0	1	0	1	0	0	1	0
1039	GCF_003236395.1_NZ_POUD01000041.1_03791	10131:11328	10131	11328	NZ_POUD01000041.1	0	GCF_900108335.1_NZ_FNVT01000004.1_04793	lanthipeptide-class-i	GCF_003236395.1_NZ_POUD01000041.1.region001_lanthipeptide-class-i_132_26706	3791	GCF_003236395.1_NZ_POUD01000041.1	GCF_003236395.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	1
1041	GCF_003236395.1_NZ_POUD01000041.1_03793	12287:13622	12287	13622	NZ_POUD01000041.1	0	GCF_003236395.1_NZ_POUD01000041.1_03793	lanthipeptide-class-i	GCF_003236395.1_NZ_POUD01000041.1.region001_lanthipeptide-class-i_132_26706	3793	GCF_003236395.1_NZ_POUD01000041.1	GCF_003236395.1	Non Defensive	lanthipeptide-class-i	0.0				0	0.0	2	1	0	0	0	0	1
1043	GCF_003236395.1_NZ_POUD01000058.1_09117	5030:6191	5030	6191	NZ_POUD01000058.1	0	GCF_003236395.1_NZ_POUD01000058.1_09117	lanthipeptide-class-i	GCF_003236395.1_NZ_POUD01000058.1.region001_lanthipeptide-class-i_1_17139	9117	GCF_003236395.1_NZ_POUD01000058.1	GCF_003236395.1	Clade 2	Lanthiphage	0.0				1	0.0	1	0	1	0	1	1	0
1044	GCF_003248335.1_NZ_QKWX01000001.1_03777	577938:579084	577938	579084	NZ_QKWX01000001.1	0	GCF_031844725.1_NZ_CP134612.1_01309	lanthipeptide-class-i	GCF_003248335.1_NZ_QKWX01000001.1.region005_lanthipeptide-class-i_565070_589272	3777	GCF_003248335.1_NZ_QKWX01000001.1	GCF_003248335.1	Clade 3	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1045	GCF_003248335.1_NZ_QKWX01000001.1_05367	2424940:2426203	2424940	2426203	NZ_QKWX01000001.1	0	GCF_003248335.1_NZ_QKWX01000001.1_05367	lanthipeptide-class-i	GCF_003248335.1_NZ_QKWX01000001.1.region013_lanthipeptide-class-i_2413872_2437350	5367	GCF_003248335.1_NZ_QKWX01000001.1	GCF_003248335.1	Clade 9	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	0
1046	GCF_003248335.1_NZ_QKWX01000001.1_05722	2798282:2799356	2798282	2799356	NZ_QKWX01000001.1	0	GCF_000716935.1_NZ_JNWU01000004.1_06646	lanthipeptide-class-i	GCF_003248335.1_NZ_QKWX01000001.1.region015_lanthipeptide-class-i_2787263_2813267	5722	GCF_003248335.1_NZ_QKWX01000001.1	GCF_003248335.1	Clade 8	Lanthiphage	0.0				0	0.0	1	0	2	0	1	1	1
1047	GCF_003248355.1_NZ_QKWY01000002.1_00434	534459:535533	534459	535533	NZ_QKWY01000002.1	0	GCF_000716935.1_NZ_JNWU01000004.1_06646	lanthipeptide-class-i	GCF_003248355.1_NZ_QKWY01000002.1.region003_lanthipeptide-class-i_521423_546532	434	GCF_003248355.1_NZ_QKWY01000002.1	GCF_003248355.1	Clade 8	Lanthiphage	0.0				0	0.0	1	0	2	0	1	1	1
1048	GCF_003248355.1_NZ_QKWY01000002.1_00788	907612:908875	907612	908875	NZ_QKWY01000002.1	0	GCF_003248335.1_NZ_QKWX01000001.1_05367	lanthipeptide-class-i	GCF_003248355.1_NZ_QKWY01000002.1.region005_lanthipeptide-class-i_896467_919945	788	GCF_003248355.1_NZ_QKWY01000002.1	GCF_003248355.1	Clade 9	Lanthiphage	0.0				0	0.0	1	1	0	1	0	0	0
1049	GCF_003248355.1_NZ_QKWY01000002.1_02377	2751526:2752672	2751526	2752672	NZ_QKWY01000002.1	0	GCF_031844725.1_NZ_CP134612.1_01309	lanthipeptide-class-i	GCF_003248355.1_NZ_QKWY01000002.1.region013_lanthipeptide-class-i_2740571_2765726	2377	GCF_003248355.1_NZ_QKWY01000002.1	GCF_003248355.1	Clade 3	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1050	GCF_003258605.2_NZ_CP031264.1_01631	1926406:1927642	1926406	1927642	NZ_CP031264.1	0	GCF_003258605.2_NZ_CP031264.1_01631	lanthipeptide-class-i	GCF_003258605.2_NZ_CP031264.1.region008_lanthipeptide-class-i_1914216_1937336	1631	GCF_003258605.2_NZ_CP031264.1	GCF_003258605.2	Clade 1	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	1
1051	GCF_003258605.2_NZ_CP031264.1_03379	3985280:3986426	3985280	3986426	NZ_CP031264.1	0	GCF_003258605.2_NZ_CP031264.1_03379	lanthipeptide-class-i	GCF_003258605.2_NZ_CP031264.1.region010_lanthipeptide-class-i_3973244_3996968	3379	GCF_003258605.2_NZ_CP031264.1	GCF_003258605.2	Clade 3	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	0
1052	GCF_003258605.2_NZ_CP031264.1_04308	5101838:5103083	5101838	5103083	NZ_CP031264.1	0	GCF_014701115.1_NZ_AP023440.1_03283	lanthipeptide-class-i	GCF_003258605.2_NZ_CP031264.1.region012_lanthipeptide-class-i_5090990_5115984	4308	GCF_003258605.2_NZ_CP031264.1	GCF_003258605.2	Clade 5	Lanthiphage	0.0				0	0.0	1	1	0	0	1	1	3
1053	GCF_003259315.1_NZ_QLLT01000004.1_05807	139389:140547	139389	140547	NZ_QLLT01000004.1	0	GCF_000721345.1_NZ_JOGH01000056.1_00493	lanthipeptide-class-i	GCF_003259315.1_NZ_QLLT01000004.1.region001_lanthipeptide-class-i_128524_153625	5807	GCF_003259315.1_NZ_QLLT01000004.1	GCF_003259315.1	Clade 4	Lanthiphage	1.0	2.0	RM_Type_IIG|RM_Type_IV	GCF_003259315.1_RM_Type_IIG_3|GCF_003259315.1_RM_Type_IV_4	0	0.0	1	1	0	0	1	1	0
1054	GCF_003259365.1_NZ_QLLY01000008.1_01423	323441:324578	323441	324578	NZ_QLLY01000008.1	0	GCF_009862305.1_NZ_WWGM01000039.1_00504	lanthipeptide-class-i	GCF_003259365.1_NZ_QLLY01000008.1.region002_lanthipeptide-class-i_313442_337563	1423	GCF_003259365.1_NZ_QLLY01000008.1	GCF_003259365.1	Clade 7	Lanthiphage	1.0	1.0	RM_Type_II	GCF_003259365.1_RM_Type_II_5	0	0.0	1	1	0	0	1	0	2
1055	GCF_003259365.1_NZ_QLLY01000016.1_03978	159124:160330	159124	160330	NZ_QLLY01000016.1	0	GCF_009862305.1_NZ_WWGM01000005.1_02763	lanthipeptide-class-i	GCF_003259365.1_NZ_QLLY01000016.1.region002_lanthipeptide-class-i_148145_173348	3978	GCF_003259365.1_NZ_QLLY01000016.1	GCF_003259365.1	Clade 1	Lanthiphage	1.0	1.0	Lamassu-Cap4_nuclease	GCF_003259365.1_Lamassu-Cap4_nuclease_1	1	0.0	1	1	0	0	1	1	0
1056	GCF_003260025.2_NZ_QFZU02000031.1_00510	82459:83704	82459	83704	NZ_QFZU02000031.1	0	GCF_003260025.2_NZ_QFZU02000031.1_00510	lanthipeptide-class-i	GCF_003260025.2_NZ_QFZU02000031.1.region002_lanthipeptide-class-i_69359_95779	510	GCF_003260025.2_NZ_QFZU02000031.1	GCF_003260025.2	Clade 10	Lanthiphage	1.0	2.0	Mokosh_Type_I_C|RM_Type_I	GCF_003260025.2_Mokosh_Type_I_C_7|GCF_003260025.2_RM_Type_I_10	0	0.0	1	1	0	1	0	0	0
